clave,fuente,instancia,tipo,uso_pinn,doi_o_identificador
kim2025,Kim et al. (2025),UPCS 154 kV; seis cables; PAC/arena; tres estratos,objeto_fisico,Campo térmico y ampacidad con bedding,10.1016/j.geothermics.2024.103151
khumalo2025,Khumalo et al. (2025),Cable MV XLPE; secado de suelo y ampacidad,objeto_fisico,Sensibilidad a humedad y resistividad,10.1155/etep/5946564
aldulaimi2024,Al-Dulaimi et al. (2024),Cable 132 kV; suelo multicapa; SCMB/FTB; FEM-BPNN,objeto_fisico,Geometría y materiales heterogéneos,10.1016/j.jestch.2024.101658
atoccsa2024,Atoccsa et al. (2024),Cable 220 kV; backfill optimizado con PSO,objeto_fisico,Ampacidad y optimización de backfill,10.3390/en17174356
oclon2015,Ocłoń et al. (2015),Sistema 400 kV; FTB/SBM/HDPE; PSO,objeto_fisico,Interfaces y backfill localizado,10.1016/j.enconman.2015.07.015
aras2005,Aras et al. (2005),Cable 154 kV; comparación IEC/FEM/ensayo,objeto_fisico,Verificación base homogénea,10.1080/15325000590964425
quan2019,Quan et al. (2019),Tres cables; plana/trébol; suelo/FTB; k(T),objeto_fisico,Geometría; profundidad y k(T),10.1016/j.egypro.2019.01.636
oladunjoye2012,Oladunjoye et al. (2012),Diez calicatas; propiedades térmicas in situ,datos_de_campo,Parametrización espacial del suelo,10.5402/2012/591450
mobius2025,Möbius et al. (2025),Tres cables MV; Hamburgo; 32 años de suelo y clima,objeto_fisico,Escenarios estacionales,10.1016/j.rser.2025.115348
cigre2022_case0,CIGRE TB 880 (2022),Cable 132 kV; caso base y 14 variantes IEC,verificacion_normativa,Regresión corriente-pérdidas-temperatura,CIGRE TB 880
cigre2025_case1,CIGRE TB 963 (2025),Tres cables 132 kV en ductos; nueve variantes FEM 2D,benchmark_fem_2d,Campo; dominio; interfaces y ampacidad,CIGRE TB 963
iec60853_annexA,IEC 60853-3 (2002),Cable tripolar 132 kV; ciclo y secado parcial,verificacion_normativa_transitoria,Extensión temporal futura,IEC 60853-3:2002
pan2025_plate,Pan et al. (2025),Placa 1 m x 0.5 m; Laplace; borde desconocido,benchmark_pinn_2d,Muestreo e inversión de frontera,10.3390/eng6050099
cigre2025_annulus,CIGRE TB 963 (2025),Anillo 2D con flujo interior y solución exacta,benchmark_analitico,Error de campo y condición de flujo,CIGRE TB 963
hahn2012_rect,Hahn y Özişik (2012),Rectángulo 2D con frontera convectiva y serie exacta,benchmark_analitico,Condición de Robin,10.1002/9781118411285
mms2d_suite,Elaboración propia,Conductividad variable e interfaz de dos materiales,benchmark_manufacturado,"PDE; k(x,y); fuentes e interfaces",Elaboración propia
